101000101	101000101	101000101	101000101
010101010	010101010	010101010	010101010
100010101	101010100	101010001	001010101
010010101	100011100	101010010	001110001
000110110	110110000	011011000	000011011
010111000	010011010	000111010	010110010
001001110	100100011	011100100	110001001
000101101	110000110	101101000	011000011
001101100	110000011	001101100	110000011
100101001	011000110	100101001	011000110
001010110	100110001	011010100	100011001
100010011	001110100	110010001	001011100
100010110	101110000	011010001	000011101
001010011	000110101	110010100	101011000
010001011	000101110	110100010	011101000
010100110	110101000	011001010	000101011
100001011	001100110	110100001	011001100
001100110	110100001	011001100	100001011
010101001	010001110	100101010	011100010
010100101	110001100	101001010	001100011
010001101	100001110	101100010	011100001
010100101	110001100	101001010	001100011
100001101	101000110	101100001	011000101
001100101	110000101	101001100	101000011
010000111	100101100	111000010	001101001
000010111	100110100	111010000	001011001
000011110	100110010	011110000	010011001
000110011	010110100	110011000	001011010
100111000	011010010	000111001	010010110
001111000	010010011	000111100	110010010
000100111	110100100	111001000	001001011
000001111	100100110	111100000	011001001
100000111	101100100	111000001	001001101
001000111	100100101	111000100	101001001
